QueryText,Count
INFORMATION REGARDING CONTROL OF LEAF SPOT IN MARIGOLD,2
INFORAMTION REGARDING  CONTROL OF APPLE LEAF MINER,2
TO KNOW ABOUT THE RAINFALL IN OUR DISTRICT,2
CONTACT NUMBER OF DUCK FARM,2
Emu bird rearing,2
information about EMU,2
WHERE I CONTACT FOR ZIPSUM,2
INFORMATION REGARDING CONTROL OF BLIGHT IN BLACKGRAM,2
INFORMATION REGARDING CONTROL OF MITES IN HONEY BEE ,2
INFORMATION REGARDING CONTROL OF WEED FROM OPEN FIELD,2
IN4MATION ON EMMU REARING,2
INFORMATION REGARDING CONTROL OF COLLAR ROT DISEASE IN APPLE TREE ,2
 INFORMATION REGARDING CONTROL OF TERMITE IN LAWN ,2
cont no of emu rearing centre of pune,2
INFORMATION REGARDING TO WHOM CONTACT TO GET SUBSCIDE ON IRRIGATION PUMP SET ,2
emoo ki jankari,2
ASKING ABOUT THE SUBSIDY RATE OF ASSAM AGRICULTURAL COMPETITIVENESS PROJECT TO GET POWER TILLER,2
name of chicken breeds,2
INFORMATION REGARDING CONTROL OF MITES IN HONEY BEE,2
Asked about EMU rearing,2
WHAT IS KISAN CALL CENER,2
 INFORMATION REGARDING CONTROL OF PUMPKIN BEETLE IN BOTTLEGOURD,2
SPECIES OF DESHI CHIKEN,2
murgi palan ki jankari digia,2
INFORMATION REGARDING CONTROL OF TERMITE IN LAWN ,2
IN4MATION ON APICULTURE,2
INFORMATION REGARDING CONTROL OF FOOT ROT IN GRAPE,2
emu palan ke jankari,2
ABOUT EMU FARMING,2
INFORMATION REGARDING CONTROL OF NESTS OF THE ANTS ,2
INFORMATION REGARDING CONTROL OF BHANG FROM OPEN FIELD,2
EMU PALAN,2
INFORMATION REGARDING CONTROL OF MINOR INSECTS IN PAPAYA,2
how to do emu farming ,2
BANARAJ CHICKEN AVAILABILITY,1
turkey rearing details,1
puthukottai veterinary number -,1
tell me about emu farming,1
WHERE I CONTACT FOR TRAINING ON POULTRY PRODUCTION,1
BEE KEEPING,1
I WANT TO IMU BIRDS RELATED KNOWLEDGE,1
BANARAJ CHICKEN AVAILABILY,1
pudukottai veterinary dept contact no,1
CONTACT NO OF EMU FARM,1
vankozhli egg availablity  contact,1
inforation regarding emu bird,1
how to rear chik,1
goat farming  contact,1
TELL ME IMU RELATED KNOWLEDGE,1
asking about the incubator,1
TELL ME CONTECT FOR EMU FARMING,1
polutry production,1
emu farm government support,1
WHERE I CONTACT FOR EMU CULTURE,1
I WANT TO IMU BIRD RELATED KNOWLEDGE,1
asaking about chick ingupator,1
asking about the hen production,1
Veterinary University and training center in coimbatore,1
poultry farming details  subsidy,1
INFORMATION REGARDING EMU,1
emu details,1
veterinary research station number,1
can we use agriculture manure of egg waste,1
TELL ME ABOUT EMU BIRD RAIRING,1
information regarding EMU,1
information regarding to emu farming,1
asking about the incubation details,1
poultry development corporation contact information,1
EGG PRODUCTION IN CHICKEN,1
Contact number of poultry farm,1
starting poultry farm,1
swan hacthing period,1
maximum no of  eggs laid by swan,1
poultry availbility,1
Poultry farm contact number,1
quail-for laying eggs,1
to get quail,1
phone no of poultry farm,1
Tell me about emu farming,1
poultry farm number,1
vaccination in poultry,1
hacthing period of turkey,1
how many eggs laid by emu,1
quail avilbility,1
auail availbility,1
wheher quail farming is prohibited,1
Tarki variety chicken details,1
Chicken Waste manangement,1
piegon avilbility,1
About Parrrot disease ,1
Give the information about emu farming,1
contact number of duck farm,1
egg availability,1
poultry rearing,1
about chik,1
about emu bird availability,1
cultivation practices,1
contact no of duck farm,1
POULTRY AVAILBILITY,1
kozhippen,1
incubator availbility,1
CONTACT NO OF DUCK FARM,1
availbility of chicken,1
availbility of duck,1
contact number of emu farm,1
QUAIL LAYING TIME,1
purchsing a incubator for 50 hens,1
how to market emu egg,1
poultry development corporation contact info,1
Where Quail chicks are available,1
availbility quail for farming,1
emu farm contact number,1
training for poultry farming,1
vaccination time of day old chicken,1
hen not laying egg,1
contact number of  poultry farm,1
hacthing period of chicken,1
Information on EMU rearing,1
CHIKEN RATE,1
turky information,1
poutry information,1
info abt rr birds,1
ASKED ABOUT POULTRY FARM,1
weather cond,1
info abt  deshi poultry breed,1
varieties,1
eggs market,1
info abt subcidy on poultry,1
What farming practices of Emu Farming,1
info abt cotrant farming of poultry farm,1
ABOUT POLTRY FARM SUBSIDY,1
DUCK DISEASE,1
LICE IN HEN,1
EMU BIRD PROJECT,1
GROWTH,1
DUCKERY FARMING,1
DUCK EGG,1
GALL MIDGE ATTACK IN RICE,1
DUCKERY,1
LAYERS 8MTH OLDNOT LAYING EGGS,1
EMU BIRDS,1
EMU PROJECT MANAGENT,1
rabbit farming information,1
Tell me about rabbit farming,1
Dear sir your query was-About Emu farming ,1
farmer want to know about the duck forming,1
give me information about quails farming,1
farmer want to kmow about the emu farming,1
GIVE THE INFORMATION ABOUT EMU FARMING,1
what is Emu farming and Details,1
farming practices of apiculture,1
give me information about fishries,1
Where I contact for training of farming of emu ,1
poultry apppaliences,1
Q Poultri farm ,1
Q Give  Emu information,1
Duck reproduction information,1
EMU FECONDITY,1
About Emu farming ,1
how to do avian of ostrich,1
i wnat to information about emu farming,1
asking about vetnary trainning,1
moisture problem at poltry farm,1
birds cultural activities,1
information about rabbit farming,1
info vaccination,1
Information about EMU Farming,1
mer ki ghass kaise khatam kare,1
pashudhan samasya kendra ka kya number hai,1
RAJMA KE LAGANE KA SAME,1
POPULAR KE KHET ME URBARK KITNI MATRA ME DALE,1
Emo farming ke bare mai bataye,1
pls tell me emu farming,1
WHERE I CAN GET INFORMATION ABOUT EMU FARMING,1
TELL ME I WANT TO POULTRY FARMING,1
pls tell me contect number IVRI,1
pls tell me about emu bird,1
i want to boiler chiks,1
contect no of west bengal dairy bourd,1
availability of eve bird,1
contact number for livestock Research station,1
asked about market information of emu birds,1
asked about  emu birds,1
availability of giri raja hens,1
asked about emubirds,1
asked about poultry farm information,1
ASKING ABOUT BROILER FARMING,1
ASKING ABOUT THE CONSTRUCTION OF POULTRY SHED,1
ASKING ABOUT EMU BIRDS AVAILABILITY AND FARMING,1
Asking about the treatment of poultry,1
ASKING ABOUT THE SYMPTOMS OF RANIKHET DISEASE IN POULTRY,1
chicken -layer,1
contect no of west bengal animal husbandry department no,1
emu ke palan se sambandhit puri jankari,1
EMU KE MILNE KA ADDRESS,1
nakli kissan call center ke bare mai puchaa,1
khali khet mai kharpatvar ke liye kya dale,1
pusp vigyan kendra pantnagar ka kya number hai,1
sarson ka bij pantnagar mai kaha milega,1
chirag ngo ka kya number hai,1
bater palan ke baare me bataye,1
Poltry ke bare mai purn jankari de,1
phalo ko kis rasayan se pakaya gata hai,1
selective herbicide mai root application vali kaun si hai,1
kanpur university ka toll free number kya hai,1
fasloo ke mitra keet kya hota hai,1
barish hone ki kya sambhavnaa hai,1
khet mai nil gay ho rahi hai kya kare,1
RAJMA KE LIYE FERTILIZERS BATAYE,1
malta ke pedper malta sad ja rahe hai pathiya pili ho rahi hai,1
adrak sad rahi hain,1
SORGHUM TOXICITY  KYA HOTA HAI,1
mira 71 kya hai kripya batane ka kast kare,1
barseem ka sowing season kiya hai,1
krishi ki masik patrika kaha se le,1
POPLER ke varieties BATAYEE KYA HAI,1
popular ke ped mai kede ched karne ke bad ped se burada nikal raha hai,1
sagoun ke ped lambai 25 fit ka hai mota nahi ho raha hain kya kare,1
Tuwell ke liye Bijli ka cinection krana hai,1
GIVE ME CONTCT NO OF ANIMAL HUSBENDERY DEPT,1
details about tarkey production,1
contact number for livestock research station,1
veterinary details,1
muripapalan chata hu,1
murgi palan ke bare bate,1
POLTRY FARM ME GARMI ME BACCHE MAR JATE HAI,1
emu farming ki jankari chahiy,1
MURGI PALAN KARNA HAI,1
INFORMATION TO POLTRIFORM,1
KAKDI ME KIDA LAGA HAIN KOUN SI DAVA KA SPRAY KARE ,1
Poultry farm kholn hain mans ke liye koun si varitey acchi hain bataye,1
TURKEY HACHTING PERIOD - 28 DAYS,1
kya urea ko garam pani mai ghol sakte hai,1
poultry pala per kitnee sabseedi hai,1
pantnagar fish department ka kya number hai,1
murgi palan ke liye lone lena hai,1
popular ki kheti jankari dijiyee,1
Dhaincha ka buwai ke samay kay hai seed ke leye,1
adrak pili ho rahi hain kya kare,1
TELL ME CONTACT NO IJJAT NAGAR,1
TELL ME CONTACT NO OF CARI,1
Information about planting mango trees....?,1
Information about the method of planting banana....?,1
Transplanting of mango plant,1
arvi ka seed rate kya hai,1
asked about emu,1
contact no of hacthery,1
Q govt schemes,1
information to rarring rabit,1
want contact no for puchasing chicks,1
Books For Poultry,1
contact number,1
loan,1
ABT GOVT SCHEAMS ,1
poultry farming contact number,1
ADRESS OF POULTRY FARM ,1
ASKED FOR THE CONTACT NO OF EGG HATCHING CENTRE,1
tell me about poultry,1
honey bees center in pune address,1
poulry,1
egg laying ,1
availity of birds,1
info abt vaccination of poultry breed,1
EMU CULTIVATION,1
OSTRICH FARMING,1
PARROT,1
BANKS NOT FINANCING POULTRY FARMING,1
what is give you information catagery of poultry,1
CITRUS AFFECTED BY BLIGHT,1
TELL ME INFORMATION ABOUT BATER,1
Ask About Poultry Farm Scheme ,1
HOW TO FIND OF EMU,1
EMU PALAN BATA DE,1
satur murg palna chta hu,1
Kya suturmurga palan kiya ja sakta hai,1
emu palan ke bare bataye,1
poultary ke lia subsity kaha se milegi,1
emu palan karna hai,1
chiken khan nahi kha rahi hai,1
emu,1
madhumakhi ke 1 dibbe se kitna sahad mil jata hai,1
POLTRY QUIRY,1
what process to emu farming ,1
khet ki urbara sakti kaise barayee,1
EMU PALAN KRNA HAI,1
bater palan ki jankari,1
Bee palne ke bare me janna hai,1
emu palan ke bare me,1
EMU FARMING KE BARE ME BATAYE,1
TRAINING OF POLTRY FARM,1
poultry farming training karna hai,1
emu palan ke baare me bataye,1
POLTRAY FORM KHOLNA CHAHATE HAI,1
information of mentha,1
batakh palne ke liye area ki tana ho,1
India me ketane kvk work kar rahe hai,1
murgipalan karna hai,1
thanjavur veterinary contact no,1
asking about emu farm making detrails,1
quail production training,1
emu farm details,1
rajapalayam veterinary dept contact no,1
details about Duck rearing,1
asking emu rearing,1
detail for turkey hatching period,1
asking about poultry ingupator,1
detail for incubator- chiks,1
chicken rearing training details,1
asking about the emu production,1
emu palan,1
marketing for turkey,1
turkey incubation period,1
drum stick planting spacing,1
shoot and fruit borer in brinjal,1
chicken rearing details,1
sugarcane inter cropping,1
availability of chicken,1
detail for chicks rearing,1
veterinary department in thiruvannamalai,1
kaadai farm making details  contact,1
ASKING ABOUT VETY PROBLEM,1
ASKING ABOUT TREATMENT OF WORMS INFESTATION IN DUCK,1
poultry farm making details,1
hen for egg laying,1
emu palan karna hia,1
EK MURGI KITNE DIN BAD ANDA DETI HAI,1
emu ek sal me kitne egg deti hai,1
ASKED ABOUT CHICKEN PRODUCTION BOOKS,1
ANT,1
CULTIVATION PRACTICE OF SWAN,1
TO CONTROL OF BLIGHT IN CICUS,1
about diary,1
poltry production ke market kya kre,1
QBATERQUAIL rearing ,1
give me information about fishries ,1
MURGE PALAN KARNA HAI,1
availablity of ammu birb,1
avine production ,1
source of HANAS batakh availability,1
ghar par cuha ho raha hai,1
aamu palan ke bare me jankare de,1
khet mai dub ghas ho rahi hai,1
kya kisan call center mai is samay vacancy hai,1
ham aemu palan karana chate hai,1
batak kai bacha kaha sai mila gai,1
Emu prapti ka easthan batai,1
Emo palan kaise kare,1
KHET MAI MOTHA HO RAHA HAI,1
bater farming information,1
murgiyo  ko dast ho rahe he,1
KRASHI CHINTAN ME BATER PALAN KE BARE ME LIKH A HE,1
MURGE KI PROBLEM HAI,1
vater palan ki trenig lani hai,1
emu palan ki training ke bare me,1
rabits palan ke bare me bataia,1
EMU PALAN KE BACHCHE KAHA MILEGE,1
POLTRY FORM OPEN,1
murgi palan ke kia loan  ke bare me bataia,1
badaK PALAN KE BARE JANANA CHATA HU,1
dane banane ki kya,1
emu khan se lai,1
emupalan ke bare me jankari chahai,1
Emu palan ki jankari,1
murgi palan ke training kerna hai,1
poltrycultur,1
Nahar nahi aa rahi hai,1
Bater palan se sambandhit jankari,1
what is contact number and farming practices in emu farming in india,1
infarmetion in emu birds,1
emu kaha se milega,1
eum pala ke bare me bataye,1
madhumakhi palan hetu jankari,1
emu palan ki jankari,1
emu palan ki jankari chahi,1
duck egg kam de rhe hai,1
fish upar se kali pad rahi he,1
battak ke bachcho ka rakhrakhab ki jankari,1
cari ka phone no chahiye,1
murgi palan k liye training k liye kaha samperk karein,1
MURGE PALAN KA LIYA UCHIT MARGDARSAN KARAY,1
chicken ki jankari,1
pakshi anushandhan sansthan ka no batayen,1
MURGE PALAN KA BARAY ME BATAY,1
murgi palan ki training karna hai,1
MURGE PALAN KE JANKARE,1
call dis,1
murgi palan karna chahte hai,1
batair palan ki jankari den,1
emu farming kaise ki jaye,1
murgi palan ki janakari de ,1
Murgi ke anus se kide aa rahe hai,1
murgi palaln se related,1
emo ki jankari den,1
MURGE PALAN KE TRANING KA LIYA BATAY,1
poultry palan ki training ki jankari,1
CHOOJO ME GROWTH NAHI HO RAHI HAI,1
batak palan ki jankari,1
duck palan ki jankari den,1
emu birds production ki jankari den,1
eggs price of emu,1
Asked about site selection for Poultry farming,1
CONTACT ADRESS OF CENTRAL FARMBHUBANESWAR,1
FARMING OF POULTRY,1
ADRESS OF POULTRY FARM IN KORAPUT DISTRICT,1
hetching of poultry,1
FARMING OF DUCK,1
use of poultry beat,1
AVAILABILITY OF DUCK,1
AVAILABILITY OF DUCKS,1
available of poultry chick,1
MURGI KA TAPMAN KAISE PATA KARE,1
IMPROPER GROWTH OF DUCKS,1
BREEDS OF DUCKEGG PURPOSE,1
DETAIL INFORMATION ABOUT EMU BIRD,1
DETAIL INFORMATION ABOUT POULTRY CULTIVATION,1
AVAILABLE OF CHICK,1
AVAILABILITY OF GUNDURI CHICKS,1
I WANT TO KNOW ABOUT POULTRY PRODUCTION,1
WHERE I CONTACT FOR DETAIL INFORMATION ABOUT POULTRY PRODUCTION,1
TELL ME INFORMATION OF INCUBATAR,1
EMU hen rearing,1
duck cultivation ki jankari,1
AVAILABILITY OF DUCKS CHICKS,1
FARMER SEES INFORMATION ABOUT THE TRAINING AND PRUNING OF APPLE TREE,1
phoolo ki kheti karni hai,1
ASKING ABOUT THE CONTROL MEASURE TO CONTROL STORED GRAIN PEST INFESTATION IN STORING,1
ASKING ABOUT SOME MICRONUTRIENT NAME,1
ASKING ABOUT THE CONTROL MEASURE OF APHID,1
spacing for bamboo CROPS,1
PRE-EMERGENCE HERBICIDES IN VEGETABLES,1
FARMER WANTS INFORMATION ABOUT COW IS WEEK GIVING LESS MILK ,1
NFORMATION REGARDING WHEARE I GET POULTRY TRAINING,1
bhains ka sing tut gaya hai,1
TRAINING OF BEE KEEPING,1
27-INFORMATION REGARDING SOWING TIME OF ASHWAGANDA,1
INFORMATION REGARDING CONTROL CATERPILLER IN BRINJAL,1
INFORMATION REGARDING CONTROL OF DIE BACK IN BOTTLE GOURD,1
INFORMATION REGARDING CONTROL OF ROOT ROT IN CHILLI,1
ASK ABOUT TRANING PROGRAMME ON ORNAMENTAL FISH CULTURE,1
TELLING THAT HE WANTS TO PRESERVE HIS CUT FLOWERS TO KEEP FRESH FOR A PERIOD OF 15 DAYS HOW WOULD IT WILL BE POSSIBLE AND ASKING THE PREVENTIVE MEASURE FOR THE SAME,1
ASKING ABOUT APPLICATION OF LIME IN PEA,1
HOW MUCH SUBCIDES IN MICRO-IRRIGATIN SYSTEAM ,1
FRUIT PLANTS ARE AFFECTED BY LOW GROTH PROBLEM,1
TELL ME SOIL AFFECTED BY TERMITE,1
GOVT SCHEMES FOR BORE WELL,1
  INFORMATION REGARDING CONTROL OF BHANG,1
WHERE BEE KEEPING BOX ARE SOLD,1
SELF EMPLOYMENT THROUGH POULTRY FARMING,1
tow know about the training program in mushroom ,1
to know about the honey prodution training ,1
To know about the information of bsnl TOLL FREE NUMBER,1
to know about the mushroom production ,1
to know about the wether report of durg dist ,1
to know about the rainfal staus in durg dist,1
to know abut the rainfall status in durg dist ,1
to know about the rainfall stuts in durg dist ,1
to know about the information of bater farm,1
INFORMATION REGARDING BLACK RUST IN ALMOND,1
to know about the subsidy in repper ,1
thanks call,1
to know about the avability in mushroom spon ,1
to know about the soil test in feild ,1
to know about the contact information about emu bird farm,1
to know abut the kisan creidit card ,1
to know about the avability of mushroom spon ,1
Farmar Testing call,1
Asking about pigery farming ,1
ASKING ABOUT MANAGEMENT OF DUCK FARM,1
HOW TO CONTROL LEAF SPOT IN BLACK GRAM,1
to know abut the rainfall staus in rajnadgaon dist,1
EK POTASIK URVARAK KA NAM,1
PHALO KO KAISE PAKAYA JATA HAI,1
AMONIOUM SULPHATE MAI SULPHATE KITNA HOTA HAI,1
PASHU KA GARVH NAHI THAR RAHA HAI,1
KHET MAI MOLIBEDNUM KITNA DETE HAI,1
PHALO KO KAISE PAKATE HAI,1
PASHU KO KILNI HO RAHA HAI,1
pashu ke sarir mai kilni ho raha hai,1
pashu ka garvh nahi thar raha hai,1
FERES SULPHATE KA SPRAY KAISE KARTE HAI,1
INFORMATINON ABOUT EMU BIRD,1
GAJAR GHAS KA ROKTHAM KAISE KARTE HAI,1
PASHU KE SARIR MAI KILNI HO RAHA HAI,1
PHALO KO KAUN SE RASAYAN SE PAKAYA JATA HAI,1
khet mai dimak laga hai,1
BROILER CHICKEN,1
25  HA LAND KE LIYE KITNE PUMP SET KI JARURAT HAI WITH HOURSE POWER,1
ASKING ABOUT SOURCE OF GOOD BREED LAYER CHICKS FOR LAYER FARMING,1
TEST CALL ,1
asking about prepration of wormicompost,1
ASK ABOUT POULTRY FARM,1
INFORMATION REGARDING SERICULTURE ,1
PASHU DUDH KAM DE RAHI HAI,1
CONTACT NOOF EMU FARMER ASSOCIATION,1
information about tarki bird,1
CONTACT NO FOR EMU REARING,1
ASKING ABOUT SUPPLEMENTARY FEED FOR THE BETTER GROWTH LAYER CHICKEN,1
MAINTENANCE OF CHICKENS,1
INFORMATION ABOUT BANRAJ CHICKEN,1
RANIKHET DISEASE OF POULTRY,1
NAME OF DUCK,1
chicken price,1
BAMBOW PLANT KIS FAMILY KA HAI,1
Veterinary University and training center,1
AGRI LOAN KAHA SE MILEGA,1
To know about the rainfall in our district,1
Information regarding method of lemon transplanting ?,1
INFORAMTION REGARDING SUBSIDY OF PUMPSET ,1
FARMER WANTS INFORMATION ABOUT THE KISAN CREDIT CARD ,1
INFORMATION REGARDING CONTROL OF APHIDS IN KNOL-KHOL ,1
vaccination of chicken,1
BEE KEEPING KE BOX KAHA SE MILEGEN,1
bee keeping ki training kaha se len,1
DUCK PALAN KARNA HAI JANKARI DEN,1
to know about the contact no of agriculture eng ,1
PASHU KA THAN PHAT RAHA HAI,1
nomber of university,1
dissconected,1
contact no of central poultry development organizationmumbai,1
WHERE AVAILABLE EMU CHICKS,1
imu farm information,1
PRICE OF ONE EMU EGG,1
PRICE OF ONE EGGS OF EMU,1
what is the cost of a pair of EMU bird and when does it star egg laying,1
training for imu rearing,1
INFORMATION ABOUT EMU FARM,1
INFORMATIO ABOUT EMU REARING,1
IN4MATION ON SERICULTURE,1
FARMER TOLD THAT WHERE HE GET POULTRY BIRD,1
Information regarding EMU rearing,1
WHERE AVILABLE BATER BIRD,1
imu information for loan purpose,1
information regarding EMU rearing and period of egg laying,1
LIFE CYCLE OF EMU BIRD,1
in4mation on emmu farming,1
information about emu farming,1
INFORMATION ON TRAINING OF APICULTURE,1
INFORMATION ABOUT  BATER PALAN ,1
GENERALLY WHEN DOES EMU GIVES EGGS,1
information about EMU farming,1
Asked regarding EMU rearing,1
INFORMATION REGARDING KISSAN CRDIT CARD ,1
INFORMATION REGARDING PHONE NUMBER OF POULTRY OFFICEER ,1
INFORMATION REGARDING WEATHER FORECAST ,1
INFORMATION REGARDING SUBSIDY OF TRACATOR ,1
INFORMATION REGARDING TRAINING IN POULTRY ,1
INFORMATION REGARDING POULTRY FARM ,1
INFORMATION REGQARDING SUBSIDY OF TRACTOR ,1
INFORMATION REGARDING SUBSIDY OF PUMP SET ,1
INFORMATION REGARDING WEATHER REPORT IN JAMMU,1
INFORMATION REGARDING PHONE NUMBER OF BEE KEEPING EXPERT ,1
