Crop,Total Queries,Number of Themes,Top Question,CSV File,Visualization
Turmeric,2518,5,information about sowing time in any vegetable crop,Turmeric_faq.csv,Turmeric_faq.png
Aloe Vera,2454,5,pls tell me control of flower dropping in chilli crop,Aloe_Vera_faq.csv,Aloe_Vera_faq.png
Ginger,2349,5,information about sowing time in any vegetable crop,Ginger_faq.csv,Ginger_faq.png
Beekeeping,2287,5,mosam ki jankari ki jankari,Beekeeping_faq.csv,Beekeeping_faq.png
Pea (Vegetable),2271,5,farmer asked query on weather,Pea_Vegetable_faq.csv,Pea_Vegetable_faq.png
Triticale,2245,5,farmer asked query on weather,Triticale_faq.csv,Triticale_faq.png
fodder sorghum,2214,5,farmer asked query on weather,fodder_sorghum_faq.csv,fodder_sorghum_faq.png
Ash Gourd Petha,2203,5,information about pest management in bottle gourd,Ash_Gourd_Petha_faq.csv,Ash_Gourd_Petha_faq.png
Carrot,2185,5,whet ki varieties,Carrot_faq.csv,Carrot_faq.png
Ridge Gourd,2062,5,information about pest management in bottle gourd,Ridge_Gourd_faq.csv,Ridge_Gourd_faq.png
Sunflower suryamukhi,2057,5,information about sowing time in any vegetable crop,Sunflower_suryamukhi_faq.csv,Sunflower_suryamukhi_faq.png
Brown Sarson,2011,5,information about in mustard crop,Brown_Sarson_faq.csv,Brown_Sarson_faq.png
Ribbed Gourd Kali Tori,1993,5,information about pest management in bottle gourd,Ribbed_Gourd_Kali_Tori_faq.csv,Ribbed_Gourd_Kali_Tori_faq.png
Sagoan,1748,5,pls tell me control of flower dropping in chilli crop,Sagoan_faq.csv,Sagoan_faq.png
Oats ,1611,5,mausam ki jankari,Oats__faq.csv,Oats__faq.png
Satawar,1577,5,pls tell me control of flower dropping in chilli crop,Satawar_faq.csv,Satawar_faq.png
Acid Lime,1450,5,pls tell me control of flower dropping in chilli crop,Acid_Lime_faq.csv,Acid_Lime_faq.png
Tulsi,1450,5,pls tell me control of flower dropping in chilli crop,Tulsi_faq.csv,Tulsi_faq.png
Litchi,1427,5,pls tell me control of flower dropping in chilli crop,Litchi_faq.csv,Litchi_faq.png
Beans ,1370,5,insect control in  crops,Beans__faq.csv,Beans__faq.png
Faba Bean Horse Beanwindsor Bean,1238,5,weather information,Faba_Bean_Horse_Beanwindsor_Bean_faq.csv,Faba_Bean_Horse_Beanwindsor_Bean_faq.png
Spinach Palak,1159,5,insect control in  crops,Spinach_Palak_faq.csv,Spinach_Palak_faq.png
Pig,1157,5,ask about animal husbandry information,Pig_faq.csv,Pig_faq.png
Sorghum (Jowar/Great Millet),1131,5,farmer asked query on weather,Sorghum_Jowar_Great_Millet_faq.csv,Sorghum_Jowar_Great_Millet_faq.png
Cowpea Vegetable,1108,5,insect control in  crops,Cowpea_Vegetable_faq.csv,Cowpea_Vegetable_faq.png
Buck Wheat Kaspat,1095,5,mausam ki jankari,Buck_Wheat_Kaspat_faq.csv,Buck_Wheat_Kaspat_faq.png
Marine,1081,5,ask about animal husbandry information,Marine_faq.csv,Marine_faq.png
Safed Musli,1073,5,dhan ki kaun c kism ki buayi kare,Safed_Musli_faq.csv,Safed_Musli_faq.png
Neem,951,5,pls tell me control of flower dropping in chilli crop,Neem_faq.csv,Neem_faq.png
Amarphophallus SurankandElephant Foot Yam,916,5,insect control in  crops,Amarphophallus_SurankandElephant_Foot_Yam_faq.csv,Amarphophallus_SurankandElephant_Foot_Yam_faq.png
Common Millet PanivaraguChenaProso MilletHogm,882,5,weather information,Common_Millet_PanivaraguChenaProso_MilletHogm_faq.csv,Common_Millet_PanivaraguChenaProso_MilletHogm_faq.png
Sweet Potato,859,5,information about the control of blight potato in crop,Sweet_Potato_faq.csv,Sweet_Potato_faq.png
Saffron,853,5,pls tell me control of flower dropping in chilli crop,Saffron_faq.csv,Saffron_faq.png
FingerMillet  RagiMandika,850,5,weather information,FingerMillet__RagiMandika_faq.csv,FingerMillet__RagiMandika_faq.png
Grape,848,5,pls tell me control of flower dropping in chilli crop,Grape_faq.csv,Grape_faq.png
Fenugreek,817,5,information about sowing time in any vegetable crop,Fenugreek_faq.csv,Fenugreek_faq.png
lobia ,814,5,insect control in  crops,lobia__faq.csv,lobia__faq.png
Ber,810,5,pls tell me control of flower dropping in chilli crop,Ber_faq.csv,Ber_faq.png
POULTRY  FARM,801,5,mosam ki jankari ki jankari,POULTRY__FARM_faq.csv,POULTRY__FARM_faq.png
OPIUM POPY,794,5,farmer asked query on weather,OPIUM_POPY_faq.csv,OPIUM_POPY_faq.png
Sesame (Gingelly/Til)/Sesamum,793,5,farmer asked query on weather,Sesame_Gingelly_Til_Sesamum_faq.csv,Sesame_Gingelly_Til_Sesamum_faq.png
"Bovine(Cow,Buffalo)",764,5,ask about animal husbandry information,"BovineCow,Buffalo_faq.csv","BovineCow,Buffalo_faq.png"
Oil palm,756,5,potatao ki variety ki jankri,Oil_palm_faq.csv,Oil_palm_faq.png
Sandal Wood,713,5,pls tell me control of flower dropping in chilli crop,Sandal_Wood_faq.csv,Sandal_Wood_faq.png
African Sarson,712,5,dhan me ki kida laga hai,African_Sarson_faq.csv,African_Sarson_faq.png
Melon,707,5,pls tell me control of flower dropping in chilli crop,Melon_faq.csv,Melon_faq.png
Guar,702,5,dhan ki kaun c kism ki buayi kare,Guar_faq.csv,Guar_faq.png
BAJRA NAPIER HYBRID,701,5,whet ki varieties,BAJRA_NAPIER_HYBRID_faq.csv,BAJRA_NAPIER_HYBRID_faq.png
Jamun,696,5,pls tell me control of flower dropping in chilli crop,Jamun_faq.csv,Jamun_faq.png
Other,694,5,pls tell me control of flower dropping in chilli crop,Other_faq.csv,Other_faq.png
Beet Root Garden BeetStock Beet,668,5,information about sowing time in any vegetable crop,Beet_Root_Garden_BeetStock_Beet_faq.csv,Beet_Root_Garden_BeetStock_Beet_faq.png
French Bean,655,5,pls tell me control of flower dropping in chilli crop,French_Bean_faq.csv,French_Bean_faq.png
Soybean (bhat),652,5,farmer asked query on weather,Soybean_bhat_faq.csv,Soybean_bhat_faq.png
Linseed alsi,637,5,whet ki varieties,Linseed_alsi_faq.csv,Linseed_alsi_faq.png
Orange,603,5,pls tell me control of flower dropping in chilli crop,Orange_faq.csv,Orange_faq.png
Mosambi,603,5,pls tell me control of flower dropping in chilli crop,Mosambi_faq.csv,Mosambi_faq.png
Cold Water,592,5,ask about animal husbandry information,Cold_Water_faq.csv,Cold_Water_faq.png
Sugar Beet,590,5,information about in sugarcane crop,Sugar_Beet_faq.csv,Sugar_Beet_faq.png
Peach,589,5,pls tell me control of flower dropping in chilli crop,Peach_faq.csv,Peach_faq.png
Barnyard Millet KundiraivlliSawan,586,5,mausam ki jankari,Barnyard_Millet_KundiraivlliSawan_faq.csv,Barnyard_Millet_KundiraivlliSawan_faq.png
Rajma french bean,583,5,information about sowing time in any vegetable crop,Rajma_french_bean_faq.csv,Rajma_french_bean_faq.png
Gladiolus,551,5,pls tell me control of flower dropping in chilli crop,Gladiolus_faq.csv,Gladiolus_faq.png
Sapota,529,5,pls tell me control of flower dropping in chilli crop,Sapota_faq.csv,Sapota_faq.png
Dog,513,5,ask about animal husbandry information,Dog_faq.csv,Dog_faq.png
Curry Leaf,492,5,dhan ki kaun c kism ki buayi kare,Curry_Leaf_faq.csv,Curry_Leaf_faq.png
Hibiscus Gurhal,488,5,insect control in  crops,Hibiscus_Gurhal_faq.csv,Hibiscus_Gurhal_faq.png
Castor Rehri Rendi Arandi ,487,5,weather information,Castor_Rehri_Rendi_Arandi__faq.csv,Castor_Rehri_Rendi_Arandi__faq.png
Peas (field peas/ garden peas/matar),486,5,farmer asked query on weather,Peas_field_peas__garden_peas_matar_faq.csv,Peas_field_peas__garden_peas_matar_faq.png
Stevia,484,5,pls tell me control of flower dropping in chilli crop,Stevia_faq.csv,Stevia_faq.png
Strawberry,463,5,pls tell me control of flower dropping in chilli crop,Strawberry_faq.csv,Strawberry_faq.png
Duck,461,5,mosam ki jankari ki jankari,Duck_faq.csv,Duck_faq.png
Teak,447,5,pls tell me control of flower dropping in chilli crop,Teak_faq.csv,Teak_faq.png
fodder maize ,439,5,pls tell me control of flower dropping in chilli crop,fodder_maize__faq.csv,fodder_maize__faq.png
Khesari chickling vetch grass pea,435,5,information about weather forecast of block in districtjaunpur,Khesari_chickling_vetch_grass_pea_faq.csv,Khesari_chickling_vetch_grass_pea_faq.png
Horse Gram kulthikultha,423,5,weather information,Horse_Gram_kulthikultha_faq.csv,Horse_Gram_kulthikultha_faq.png
Fennel,388,5,information about sowing time in any vegetable crop,Fennel_faq.csv,Fennel_faq.png
Cumin,383,5,information about sowing time in any vegetable crop,Cumin_faq.csv,Cumin_faq.png
Lab Lab,380,5,insect control in  crops,Lab_Lab_faq.csv,Lab_Lab_faq.png
Napier Grass,378,5,pls tell me control of flower dropping in chilli crop,Napier_Grass_faq.csv,Napier_Grass_faq.png
Cluster Bean,363,5,pls tell me control of flower dropping in chilli crop,Cluster_Bean_faq.csv,Cluster_Bean_faq.png
ARUM ,347,5,mausam ki jankari,ARUM__faq.csv,ARUM__faq.png
White Yam,345,5,information about sowing time in any vegetable crop,White_Yam_faq.csv,White_Yam_faq.png
Brackish,336,5,ask about animal husbandry information,Brackish_faq.csv,Brackish_faq.png
Broccoli,325,5,pls tell me control of flower dropping in chilli crop,Broccoli_faq.csv,Broccoli_faq.png
Chestnut,319,5,pls tell me control of flower dropping in chilli crop,Chestnut_faq.csv,Chestnut_faq.png
AmaranthusGrain Amaranthus,316,5,dhan ki kaun c kism ki buayi kare,AmaranthusGrain_Amaranthus_faq.csv,AmaranthusGrain_Amaranthus_faq.png
Sudan Grass,313,5,insect control in  crops,Sudan_Grass_faq.csv,Sudan_Grass_faq.png
Flying Duck,309,5,mosam ki jankari ki jankari,Flying_Duck_faq.csv,Flying_Duck_faq.png
"Colocasia (Arvi, Arbi)",305,5,farmer asked query on weather,"Colocasia_Arvi,_Arbi_faq.csv","Colocasia_Arvi,_Arbi_faq.png"
Italian Millet ThenaiNavaneFoxtail MilletKang,304,5,weather information,Italian_Millet_ThenaiNavaneFoxtail_MilletKang_faq.csv,Italian_Millet_ThenaiNavaneFoxtail_MilletKang_faq.png
Chapan Kaddu,295,5,dhan ki kaun c kism ki buayi kare,Chapan_Kaddu_faq.csv,Chapan_Kaddu_faq.png
Buffel Grass Anjan Grass,291,5,ask about animal husbandry information,Buffel_Grass_Anjan_Grass_faq.csv,Buffel_Grass_Anjan_Grass_faq.png
Koronda,290,5,insect control in  crops,Koronda_faq.csv,Koronda_faq.png
Broad Bean,277,5,pls tell me control of flower dropping in chilli crop,Broad_Bean_faq.csv,Broad_Bean_faq.png
Snake Gourd,272,5,information about pest management in bottle gourd,Snake_Gourd_faq.csv,Snake_Gourd_faq.png
Little Millet SamaiKutkikodo-kutki,268,5,farmer asked query on weather,Little_Millet_SamaiKutkikodo-kutki_faq.csv,Little_Millet_SamaiKutkikodo-kutki_faq.png
Jojoba,267,5,weather information,Jojoba_faq.csv,Jojoba_faq.png
Safflower kusumkardi,252,5,information about sowing time in any vegetable crop,Safflower_kusumkardi_faq.csv,Safflower_kusumkardi_faq.png
Indian Clover Senji Sweet Clover,248,5,pls tell me control of flower dropping in chilli crop,Indian_Clover_Senji_Sweet_Clover_faq.csv,Indian_Clover_Senji_Sweet_Clover_faq.png
Tapioca Cassava,245,5,weather information,Tapioca_Cassava_faq.csv,Tapioca_Cassava_faq.png
Cotton (Kapas),243,5,farmer asked query on weather,Cotton_Kapas_faq.csv,Cotton_Kapas_faq.png
Olive,238,5,weather information,Olive_faq.csv,Olive_faq.png
Kodo Millet KodaraVaragu,231,5,weather information,Kodo_Millet_KodaraVaragu_faq.csv,Kodo_Millet_KodaraVaragu_faq.png
Apple,231,5,pls tell me control of flower dropping in chilli crop,Apple_faq.csv,Apple_faq.png
Long Melon,231,5,pls tell me control of flower dropping in chilli crop,Long_Melon_faq.csv,Long_Melon_faq.png
Coconut,227,5,pls tell me control of flower dropping in chilli crop,Coconut_faq.csv,Coconut_faq.png
Karan Rai,223,5,weather information,Karan_Rai_faq.csv,Karan_Rai_faq.png
Garden Pea,223,5,pls tell me control of flower dropping in chilli crop,Garden_Pea_faq.csv,Garden_Pea_faq.png
Brussils Sprouts,219,5,whet ki varieties,Brussils_Sprouts_faq.csv,Brussils_Sprouts_faq.png
Lethyrus,218,5,mosam ki jankari ki jankari,Lethyrus_faq.csv,Lethyrus_faq.png
Methi Fenugreek,209,5,information about sowing time in any vegetable crop,Methi_Fenugreek_faq.csv,Methi_Fenugreek_faq.png
Butter Pea Vegetable,204,5,dhan ki kaun c kism ki buayi kare,Butter_Pea_Vegetable_faq.csv,Butter_Pea_Vegetable_faq.png
Fig,204,5,pls tell me control of flower dropping in chilli crop,Fig_faq.csv,Fig_faq.png
Almond,203,5,pls tell me control of flower dropping in chilli crop,Almond_faq.csv,Almond_faq.png
Babool,199,5,pls tell me control of flower dropping in chilli crop,Babool_faq.csv,Babool_faq.png
Custard Apple,198,5,pls tell me control of flower dropping in chilli crop,Custard_Apple_faq.csv,Custard_Apple_faq.png
Cardamom,197,5,pls tell me control of flower dropping in chilli crop,Cardamom_faq.csv,Cardamom_faq.png
Kiwi Fruit,188,5,pls tell me control of flower dropping in chilli crop,Kiwi_Fruit_faq.csv,Kiwi_Fruit_faq.png
Turkey,186,5,mosam ki jankari ki jankari,Turkey_faq.csv,Turkey_faq.png
Mulberry,183,5,pls tell me control of flower dropping in chilli crop,Mulberry_faq.csv,Mulberry_faq.png
Chrysanthemum,183,5,weather information,Chrysanthemum_faq.csv,Chrysanthemum_faq.png
Dolichos Bean,179,5,insect control in  crops,Dolichos_Bean_faq.csv,Dolichos_Bean_faq.png
Spine Gourd,172,5,information about pest management in bottle gourd,Spine_Gourd_faq.csv,Spine_Gourd_faq.png
Kundru,172,5,pls tell me control of flower dropping in chilli crop,Kundru_faq.csv,Kundru_faq.png
Niger Ramtil,167,5,potatao ki variety ki jankri,Niger_Ramtil_faq.csv,Niger_Ramtil_faq.png
Ivy Gourd,163,5,information about pest management in bottle gourd,Ivy_Gourd_faq.csv,Ivy_Gourd_faq.png
China Astor,163,5,weather information,China_Astor_faq.csv,China_Astor_faq.png
Periwinkle,163,5,pleas give information of govt scheme,Periwinkle_faq.csv,Periwinkle_faq.png
Bush Squash,163,5,mausam ki jankari,Bush_Squash_faq.csv,Bush_Squash_faq.png
Baby Corn,161,5,weather information,Baby_Corn_faq.csv,Baby_Corn_faq.png
Sal Wood,161,5,pls tell me control of flower dropping in chilli crop,Sal_Wood_faq.csv,Sal_Wood_faq.png
Barley (Jau),154,5,farmer asked query on weather,Barley_Jau_faq.csv,Barley_Jau_faq.png
Raya (Indian Mustard),153,5,information about in mustard crop,Raya_Indian_Mustard_faq.csv,Raya_Indian_Mustard_faq.png
Ash Gourd (Petha),151,5,information about pest management in bottle gourd,Ash_Gourd_Petha_faq.csv,Ash_Gourd_Petha_faq.png
Caleus,150,5,pls tell me control of flower dropping in chilli crop,Caleus_faq.csv,Caleus_faq.png
Honey plant,149,5,mosam ki jankari ki jankari,Honey_plant_faq.csv,Honey_plant_faq.png
Jasmine,147,5,pls tell me control of flower dropping in chilli crop,Jasmine_faq.csv,Jasmine_faq.png
Jute,145,5,weather information,Jute_faq.csv,Jute_faq.png
Spinach (Palak),142,5,farmer asked query on weather,Spinach_Palak_faq.csv,Spinach_Palak_faq.png
Pear,136,5,pls tell me control of flower dropping in chilli crop,Pear_faq.csv,Pear_faq.png
Betel Vine,136,5,pls tell me control of flower dropping in chilli crop,Betel_Vine_faq.csv,Betel_Vine_faq.png
Leafy Vegetable,135,5,potatao ki variety ki jankri,Leafy_Vegetable_faq.csv,Leafy_Vegetable_faq.png
Pineapple,133,5,pls tell me control of flower dropping in chilli crop,Pineapple_faq.csv,Pineapple_faq.png
Drum Stick,133,5,pls tell me control of flower dropping in chilli crop,Drum_Stick_faq.csv,Drum_Stick_faq.png
Apricot,126,5,potato me weediside ka prayog kiya hai plant such raha hai,Apricot_faq.csv,Apricot_faq.png
Plum,126,5,pls tell me control of flower dropping in chilli crop,Plum_faq.csv,Plum_faq.png
Ribbed Gourd (Kali Tori),125,5,information about pest management in bottle gourd,Ribbed_Gourd_Kali_Tori_faq.csv,Ribbed_Gourd_Kali_Tori_faq.png
Smooth Guard,122,5,information about pest management in bottle gourd,Smooth_Guard_faq.csv,Smooth_Guard_faq.png
Indian rapeseed and mustard (yellow sarson),122,5,farmer asked query on weather,Indian_rapeseed_and_mustard_yellow_sarson_faq.csv,Indian_rapeseed_and_mustard_yellow_sarson_faq.png
Bell Pepper,121,5,pls tell me control of flower dropping in chilli crop,Bell_Pepper_faq.csv,Bell_Pepper_faq.png
Turnip Saljam,120,5,information about sowing time in any vegetable crop,Turnip_Saljam_faq.csv,Turnip_Saljam_faq.png
Tumba,120,5,dhan ki kaun c kism ki buayi kare,Tumba_faq.csv,Tumba_faq.png
Indian Squash TindaRound Melon,114,5,pls tell me control of flower dropping in chilli crop,Indian_Squash_TindaRound_Melon_faq.csv,Indian_Squash_TindaRound_Melon_faq.png
Guineafowl,114,5,mosam ki jankari ki jankari,Guineafowl_faq.csv,Guineafowl_faq.png
Rabbit,113,5,ask about animal husbandry information,Rabbit_faq.csv,Rabbit_faq.png
Carnation,110,5,weather information,Carnation_faq.csv,Carnation_faq.png
Rajmash Bean,108,5,information about sowing time in any vegetable crop,Rajmash_Bean_faq.csv,Rajmash_Bean_faq.png
Jatropha Ratanjot,107,5,pls tell me control of flower dropping in chilli crop,Jatropha_Ratanjot_faq.csv,Jatropha_Ratanjot_faq.png
Gerbera,106,5,pleas give information of govt scheme,Gerbera_faq.csv,Gerbera_faq.png
Pepper,103,5,pls tell me control of flower dropping in chilli crop,Pepper_faq.csv,Pepper_faq.png
Sheep,102,5,ask about animal husbandry information,Sheep_faq.csv,Sheep_faq.png
Greater Yam,101,5,dhan ki kaun c kism ki buayi kare,Greater_Yam_faq.csv,Greater_Yam_faq.png
Indian Bean Vegetable,98,5,insect control in  crops,Indian_Bean_Vegetable_faq.csv,Indian_Bean_Vegetable_faq.png
Goose,97,5,mosam ki jankari ki jankari,Goose_faq.csv,Goose_faq.png
