crop,total_queries,unique_queries,total_clusters,clusters_for_85pct,median_cluster_size,algorithm,top_5_topics
Bail,7358,4293,233,2,1,Leiden,"['fruit drop in bail', 'bail me phal gir raha hai', 'information about nutrient management in the bail plant', 'information about weather', 'blast problem in bail']"
Raya Indian Mustard,7076,3708,252,3,1,Leiden,"['information about nutrient management in mustard crop', 'lahi ke varieties', 'farmer asked query on weather', 'veriety for musterd', '23602352236023792306 23252368 23252367236023812350 23482340236623232416']"
Sorghum JowarGreat Millet,6902,3598,244,4,1,Leiden,"['information about weather forecast of block inbhognipur districtkanpur dehat', 'information about insect control in sorghum crop', 'plant protection in jowar', 'jowar me sudi sukh rahi hai', 'information about the control of stem borer in sorghum crop']"
Capsicum,6821,4017,315,3,1,Leiden,"['plant protection of chilli', 'mirch main leaf currling hai', 'information about weather', 'leaf curl in capsicum', 'information about weather forecast of block fatehganj west in district bareilly']"
Barley Jau,6683,3882,448,5,1,Leiden,"['mausam ki jankari', 'manure in wheat', 'information about weed control in barley crop', 'asking about weather info', 'information about weather forecast of block in district mainpur']"
Cotton Kapas,6677,3733,245,4,1,Leiden,"['plant protection in cotton', 'sowing time of cotton', 'mausam ki jankari', 'give information about weather forecast of block chhta in district mathura', 'information of seed registration']"
Poplar,6666,4510,339,3,1,Leiden,"['popular me deemak lagi hai kya kare', 'insect in popular', 'information about fertilizer use in poplar plant', 'termite control in poplar plant', 'weather information']"
Rose,6631,4337,310,3,1,Leiden,"['insect in rose', 'gulab ki cutting kab kare', 'information about fertilizer use in rose', 'tell me about weather information', 'termite control in rose plant']"
Barseem,6337,3596,201,4,1,Leiden,"['sowing time of barseem', 'barseem ki buvai kab kare', 'insect problem in barseem', 'information about weather forecast of blockasafpur in districtbadaun', 'information about weed control in barseem crop']"
Mint,6221,3266,262,2,1,Leiden,"['insect control in mint', 'insect control in mentha', 'information about to weather forecast of blockmahewaand districtjalaun', '23502375230623412366 23502375 2326235223462340235723662352 236123762404', 'provide information related to contact number of central medicinal and intensive plant institute cimap lucknow']"
Cabbage,5740,3502,316,4,1,Leiden,"['var of cabbage', 'mausam ki jankari', 'insect problem in cabbage', 'information about weather', 'information about to weather forecast of blockasafpurand districtbadaun']"
Toria,5728,2561,172,4,1,Leiden,"['variety of toria', 'information about sowing time of toria crop', 'information about weather forecast of blockbilsi in districtbadaun', 'information about of toria sowing time', 'informetion about verieties of mustard crop']"
Bottle Gourd,5438,729,17,2,1,Leiden,"['bottle gourd', 'lauki ka phal sukh ja raha hai', 'diseas control of lauki', 'lauki ka seed rate', 'catterpiller in bottle gourd']"
Musk Melon,5431,3462,156,3,1,Leiden,"['insect control in muskmelon', 'kharbooja mai kida laga hai', 'information about weather forecast of  block ranipur    in district  jhansi', 'information about fertilizer use in musk melon', 'insect control in kharbooja']"
Triticale,5253,2450,386,4,1,Leiden,"['mausam ki jankari', 'give weather information', 'weed problem in wheat', 'information about weather forecast of block ujhani in district badaun', 'information about pradhan mantri kisan samman nidhi yojana']"
Dhaincha,4984,2923,188,4,1,Leiden,"['sowing time of dhaincha', 'seed rate of dhaincha', 'dhaincha ki jankari', 'give information about weather forecast of blockpahasu in districtbulandshahr', '23382366231223302366 2348237923442375 23252366 2335236623112350 2325238123512366 23612376']"
Lentil (Masur),4744,1085,55,3,1,Leiden,"['lentil cultivation', 'masur me ukhta laga hai', 'masur mama weed ka control batayen', 'farmer asked query on weather', 'masur ki varity']"
fodder sorghum,4729,2803,177,4,1,Leiden,"['information about varieties of fodder sorghum', 'stem borer in sorghum', 'information about weather forecast of blockmau aima in districtallahabad', 'chari ki parajati kaun silagaye', 'seedrate of bajara']"
Brown Sarson,4700,2497,220,5,1,Leiden,"['sarso me mahu laga hai', 'about mustard crop', 'information about varieties of sarso crop', 'information about weather forecast of block inmahewa districtjalaun', 'information about weather']"
Sponge Gourd,4691,2755,254,4,1,Leiden,"['insect in sponge gourd', 'torai me insect lage hai', 'informetion about insect control of spong gourd', 'about weather information', 'sponge gourd ki fal  gir rha hai']"
Goat,4686,2494,127,3,1,Leiden,"['information about goat farming', 'bakri palan karna hai', 'goat palan ki jankari de', 'provide information related to animal husbandry', 'information of weather']"
Turmeric,4475,2390,187,2,1,Leiden,"['sowing time of turmeric', 'haldi ka sowing time', 'asking about weather information', 'information about cimap lucknow contact number', 'information of toll free number of horticulture department']"
Carrot,4322,2382,213,5,1,Leiden,"['var of carrot', 'gajar ki kism', 'information about sowing time for carrot', 'information about fertilizer use in carrot', 'tell me about weather information']"
Black Gram (urd bean),4321,1236,82,3,1,Leiden,"['farmer asked query on weather', 'information about sowing time of black gram', 'information about control of insect in black gram crop', 'urd ki babai kar sakte hai', 'information about how to use nano dap in black gram']"
Pearl Millet (Bajra/Bulrush Millet/Spiked Millet),4222,904,68,3,1,Leiden,"['farmer asked query on weather', 'bajra ki variety kya hai', 'information about weed control in bajra millets crop', 'bajra in grass hopper control', 'asked about to pm kisan samman nidhi  yojana']"
Oats ,4198,2179,381,9,1,Leiden,"['mausam ki jankari', 'information about weather forecast of block inmadnapur districtshahjahanpur', 'information about in paddy crop', 'give information about sowing time of oats crop', 'fungas in mango']"
Ash Gourd Petha,3911,2568,280,4,1,Leiden,"['plant protection in ash gourd', 'mausam ki jankari', 'information regarding the variety of petha crop', 'give the information about weather forecast', 'fungas in chilli']"
Ginger,3890,2339,180,2,1,Leiden,"['sowing time of ginger', 'ginger ka sowing time kya hai', 'information about weather', 'information about nutrient management in garlic crop', 'information about  gingar crop']"
Fresh Water,3853,1743,141,2,1,Leiden,"['information about fisheries', 'machhali palan ki jankari de', 'fish palan ki jankari', 'asking about weather information', 'fisheris information']"
Beekeeping,3690,1817,219,4,1,Leiden,"['provide information regarding beekeeping', 'madhumakhi palan ki jankari chahiy', 'beekeeping ki training karna hai jankari de', 'tell me about weather information', 'information about prime minister kisan samman nidhi yojana']"
POULTRY  FARM ,3678,1752,157,3,1,Leiden,"['poultry farm information', 'murgi palan ki jankari de', 'poultry farm ki jankari de', 'give information related to animal husbandry', 'informetion about poulty farm']"
Aloe Vera,3613,1985,151,3,1,Leiden,"['sowing time of aloe vera', 'aloe vera ki jankari', 'tell me cimap  contact number', 'information about cultivation of medicinal plant', 'asking about weather information']"
Sagoan,3356,2619,245,3,1,Leiden,"['control of deemak', 'insect in sagoan', 'termite control in sagoan plant', 'information related to planting teak plants', 'tell me about weather information']"
Groundnut (pea nut/mung phalli),3333,579,47,3,1,Leiden,"['farmer asked query on weather', 'give information about sowing time of groundnut crop', 'information about to insect  and disease control of groundnut crops', 'provide information regarding weed control in groundnut crop', 'farmer asked query on mandi details']"
Sunflower suryamukhi,3288,1949,163,3,1,Leiden,"['sowing time of sunflower', 'surajmukhi ki var', 'sunflower ki kism kon si hai', 'to know about weather information', 'varieties']"
Bovine(Cow/Buffalo),3284,1571,79,2,1,Leiden,"['poor milk of buffalo', 'bhains ki jer nahi nikal rahi hai', 'bhains ki pregnancy test karna hai', 'chane ki faliya safed pad gai he', 'nomino gold ke prayog  karne ke bad baris ho gai']"
Ribbed Gourd Kali Tori,3120,2232,171,3,1,Leiden,"['plant protection in ribbed gourd', 'tori ki kheti karni he', 'information about control of insect in tori crops', 'information about weather forecast of blocksikandra in district kanpur dehat', 'leaves are yellow and red in the luffa crop']"
Ridge Gourd,3090,2042,182,3,1,Leiden,"['plant protection in ridge gourd', 'torai ki pattya pilikali padakar shukh ja rahi hai', 'about information of weather in block rajpur district kanpur dehat', 'information about pest control in taroi crop', 'tell me nutrient management']"
Tulsi,2757,1898,170,4,1,Leiden,"['sowing time of tulsi', 'tulsi ki kheti', 'information about contact number of cimap lucknow', 'asking about medicinal plants information', 'information about weather forecast of blocksarilaand districthamirpur']"
Beans ,2664,1928,270,5,1,Leiden,"['insect problem in beans', 'mausam ki jankari', 'information about beans crops', 'about weather information', 'information about control of the flower dropping in beans crop']"
Satawar,2473,1641,153,4,1,Leiden,"['sowing time of satawar', 'satwar kab lagayain', 'give information related to cultivation of medicinal plants', 'tell me about contact number of cimap', 'provide about information of weather forecast in district  rampur block  suar']"
Pea (Vegetable),2451,542,32,3,1,Leiden,"['farmer asked query on weather', 'information regarding growth and development of pea crop', 'information about pest control in pea crop', 'matar ki fasal me faliyon me sadan ko rokne ke lie kya kare', 'information about control of termites in pes crop']"
Amarphophallus SurankandElephant Foot Yam,2436,1400,264,9,1,Leiden,"['arvi ki patti pili hoi rahi hai', 'give information about sowing time of arvi crops', 'insect controle in arvi', 'information about sowing time and production of elephant foot yam', 'manure and fertilizer']"
Litchi,2384,1817,123,3,1,Leiden,"['plant protection in litchi', 'litchi ka phal phat raha hai', 'information about fertilizer use in litchi plant', 'information about weather', 'give information about of horticulture department']"
Cowpea Vegetable,2367,1713,188,2,1,Leiden,"['plant protection in cowpea', 'mausam ki jankari', 'information about weather forecast of blockmachchali shar distjaunpur', 'fungas in tomato', 'manure in potato']"
Spinach Palak,2366,1585,121,4,1,Leiden,"['information about sowing time of spinach', 'give information about weed control of spinach palak crop', 'palak ki patti me kida lga hai', 'information about weather', 'information about weather  forecast of block devali in district ghazipur']"
Acid Lime,2213,1545,195,3,1,Leiden,"['information about acid lime', 'nibu me phal kam aa rahe hai', 'give me about weather information', 'insect in neebu', 'amla me']"
Neem,1994,1583,234,6,1,Leiden,"['information about neem plant', 'mentha me keet pati kha raha hai', 'medicinal plant ka cultivation ki jankari', 'mentha oil ka rate', 'termite control in neem plant']"
FingerMillet  RagiMandika,1893,894,234,16,1,Leiden,"['barley ki pati pili ho rahi hai', 'about weather information', 'information about cultivation of finger millet ragi crop', 'mausam ki jankari ke liye', 'control of yellow leaf in barley']"
Buck Wheat Kaspat,1851,572,230,28,1,Leiden,"['mausam ki jankari chahiye', 'tell me about weather information', 'manure', 'fungas in gorlik', 'insect in vegetable crop']"
Faba Bean Horse Beanwindsor Bean,1818,536,232,16,1,Leiden,"['weather information', 'ganee me suri ki samaya hai', 'mosam ki jankari m', 'information of seed registration', 'information of papaya seed']"
Safed Musli,1785,1196,138,4,1,Leiden,"['safed musali ka sowing time', 'safed musli cultivation', 'give information about medicinal plants', 'give information about contact number of cimap lucknow', 'tell me about weather information']"
Other,1638,1282,318,73,1,Leiden,"['jwar ki chari me keeda laga hai', 'give me information about sowing time of fodder crops', 'information about weather forecast of block in district', 'fisheries related information', 'give information about azolla cultivation']"
Common Millet PanivaraguChenaProso MilletHogm,1635,528,246,39,1,Leiden,"['tell me about weather information', 'mausam ki jankari chahiy', 'dhan pila ho rha hai', 'tell me varity of wheat', 'manure in musterd']"
Sorghum (Jowar/Great Millet),1631,569,49,3,1,Leiden,"['farmer asked query on weather', 'give information about weed control of sorghum crop', 'jowar me khatra  hai', 'seed rate of jowar', 'information for diagnosis of yellowing in sorghum crop']"
Fenugreek,1542,1056,113,3,1,Leiden,"['information on fenugreek planting', 'pest control in fenugreek crop', 'methi ki bovai krni hai', 'asking about weather information', 'information about weather forecast of block in district']"
Linseed alsi,1537,1054,188,11,1,Leiden,"['information about sowing time of linseed crop', 'sarson ki phasal me mahu lga hai', 'information about in mustard crop', 'tell me about weather information', 'information about weather forecast of block  in district   shahjahanpur']"
Sweet Potato,1525,1142,111,4,1,Leiden,"['information of sweet potato crop', 'control of insect in the sweet potato crop', 'sakarkandi me keeda laga hai', 'information about weather forecast of block vijapur district fatehpur', 'problem in tomato']"
lobia ,1500,1026,95,3,1,Leiden,"['plant protection in lobia', 'lobia ki pattiyan pili ho rahi hai', 'information about cowpea cultivation', 'asking about weather information', 'information about weather forecast of block shahjahanpur in district shahjahanpur']"
Saffron,1486,759,117,3,1,Leiden,"['haldi me kharpatvar hai', 'turmeric cultivation', 'information about saffron cultivation', 'information about cimap lucknow contact number', 'leaf yellowing in turmeric']"
BAJRA NAPIER HYBRID,1436,903,90,3,1,Leiden,"['bajra ki variety', 'give me about weather information', 'bajra  ki gobh me keet lage hai', 'information about weather forecast of block madanpur in district firozabad', 'leaf blight of bajra']"
French Bean,1436,1080,165,3,1,Leiden,"['information related to french bean crop', 'bean ki pattiya pili ho rahi hai', 'asking about weather information', 'information about weather forecast of block in district', 'lobiya me keet control']"
Grape,1433,1251,139,5,1,Leiden,"['plant protection in grape', 'angoor ke phal gir rahe hai', 'grape me phal nahi ho rahi hai', 'asked about weather information', 'information about of insect control in guava fruit']"
Pig,1419,946,75,2,1,Leiden,"['piggery ki jankari', 'information about pig farming piggery', 'ask about animal husbandry information', 'about weather information of suar in rampur district', 'information about poultry farm']"
Guar,1419,1074,145,3,1,Leiden,"['guar ki kheti karni he', 'variety of guar crop', 'farmer asked query on weather', 'information about weather forecast of block karhal in district mainpuri', 'weed cantrol in gour']"
Melon,1375,1016,103,4,1,Leiden,"['insect problem in melon', 'tarbuj me phal kala ho raha hai', 'asking about weather information', 'pest control in mango plants', 'information about the flower and fruit dropping problem in the  lemon plant']"
African Sarson,1351,793,103,4,1,Leiden,"['var of barseam', 'barseam ka seed rate', 'barseam ka sowing time', 'farmer asked query on weather', 'variety of berseem']"
Marine,1315,764,91,2,1,Leiden,"['information about of fisheries in fish', 'machali palan karna hai jankari de', 'information about weather', 'information of fisheris', 'information about pearl farming']"
Oil palm,1315,584,113,4,1,Leiden,"['til ki phali me keeda laga hai upay bataye', 'seedrate of sesamum', 'til ki varity', 'til in weed control', 'information about palm oil cultivation']"
Beet Root Garden BeetStock Beet,1293,953,178,8,1,Leiden,"['information about beet root  crop', 'chukandar ki bubai kab ki jati hai', 'information about weather forecast of blockghiror distmainpuri', 'fungas', 'manure in paddy']"
Ber,1240,908,164,6,1,Leiden,"['information about pest management in ber plants', 'ber ke phal jhad rahe hai', 'insect in cucumber', 'wrong number', 'information of plum species']"
Gladiolus,1199,889,184,17,1,Leiden,"['gladiolus plant information', 'gladiolus kab laga sakate hai', 'asked about weather information', 'information on flowers cultivation', 'information about weather forecast of block meerut in district   meerut']"
Sugar Beet,1195,827,150,6,1,Leiden,"['sugarcen me pakhi lagi hai', 'asking about sugarcane crop', 'weather information', 'information about weather forecast of block  khatauli in district   muzaffarnagar', 'information of seed registration']"
Jamun,1194,961,107,2,1,Leiden,"['plant protection in jamun', 'jamun ke phal gir rahe hai', 'asking about weather information', 'information related to fertilizer in blackberry plant', 'information about in nutrient management in zamun']"
OPIUM POPY,1155,661,82,2,1,Leiden,"['information about cultivation of opium popy crop', 'information about weather forecast of block samrer in district badaun', 'afeem ki kheti ki jankari chahiy', 'information about nutrient management in afeem', 'informetion about cimap lucknow contact number']"
Barnyard Millet KundiraivlliSawan,1130,546,195,39,1,Leiden,"['mausam ki jankari chahaiye', 'manure', 'asking about weather information', 'dhaan  me  kire  laga  hai', 'varity of wheat']"
Khesari chickling vetch grass pea,973,519,124,10,1,Leiden,"['variety of pea crop', 'information about weather forecast of block ranipur in district jhansi', 'tell me about weather information', 'mausam ki jankari  ke liye', 'chana pila ho rha hai']"
fodder maize ,962,763,123,5,1,Leiden,"['information about maize fodder crop', 'chari ki phasal me saphed kida laga hai', 'weather information', 'information about weather forecast of blocksadabad in district hathras', 'makke ka seed rate']"
Rajma french bean,960,673,97,4,1,Leiden,"['information about rajma crop', 'rajma ki bubai kab ki jati hai', 'information about sowing time of french bean crops', 'information about weather', 'pusa ka help line no']"
Castor Rehri Rendi Arandi ,953,445,159,30,1,Leiden,"['tell me about weather information', 'information regarding to varieties of castor crop', 'mausam ki jankari', 'arandi ki thi krni hai', 'information of seed registration']"
Sandal Wood,929,681,106,5,1,Leiden,"['information about sandalwood cultivation', 'chandan ki kheti ki jankari de', 'informetion about cimap lucknow contact number', 'information about cultivation of chandan tree', 'central institute of medicinal and aromatic plants']"
POULTRY  FARM,926,419,11,2,1,Leiden,"['murgi palan karna hai', 'poultry farm ki jankari krne ke liye', 'poultry me disease lagi hai', 'where from get loan  project on poultry', 'can we apply glucose in drinking water of chicken']"
Mosambi,912,760,111,4,1,Leiden,"['information about control of fruit and flower drop in mosambi', 'mosambi ka phal gir raha hai', 'farmer is asking about weather information', 'information about of cultivation in musammi crop', 'gross in wheat']"
Sesame (Gingelly/Til)/Sesamum,888,262,32,2,1,Leiden,"['provide information about sowing time of sesame crop', 'farmer asked query on weather', 'til ki mukhy kisme kaun kaun si hai', 'information about till variety', 'information about crop insurance claim related query']"
Teak,881,739,141,17,1,Leiden,"['teak plant information', 'sagaun ki pattiya kde kha rahe hai', 'termite control in teak plant', 'asking about weather information', 'information about chandan plants']"
Curry Leaf,873,724,204,74,1,Leiden,"['kaddo ke pattiyo me kali pad rahi hai phal gir rhe hai', 'mausam ki jankari ke liye', 'insect control of cucurbits', 'insect control in kheera', 'kheera ki varity']"
Orange,847,745,115,6,1,Leiden,"['information about fruit dropping control of orange', 'santara ka phul gir raha hai', 'information about plant protection in kinnu plant', 'tell me about weather information', 'information about varieties of papaya']"
